episode_title,published_at,track_no,artist,title,raw_text,source_field,extraction_status
3 / 30 田中渓のBeyond K-point『【最終回】interfmの取締役高原さんを迎えて、この番組の総括などお話をしています。』,"Sun, 29 Mar 2026 20:59:00 -0000",1,Nomak,Anger Of The Earth,Nomak / Anger Of The Earth,content_encoded,ok
3 / 30 田中渓のBeyond K-point『【最終回】interfmの取締役高原さんを迎えて、この番組の総括などお話をしています。』,"Sun, 29 Mar 2026 20:59:00 -0000",2,Cyndi Lauper,Time After Time,Cyndi Lauper / Time After Time,content_encoded,ok
3 / 30 田中渓のBeyond K-point『【最終回】interfmの取締役高原さんを迎えて、この番組の総括などお話をしています。』,"Sun, 29 Mar 2026 20:59:00 -0000",3,Christina Perri,A Thousand Years,Christina Perri / A Thousand Years,content_encoded,ok
3 / 30 田中渓のBeyond K-point『【最終回】interfmの取締役高原さんを迎えて、この番組の総括などお話をしています。』,"Sun, 29 Mar 2026 20:59:00 -0000",4,Aaliyah,Miss you,Aaliyah / Miss you,content_encoded,ok
3 / 30 田中渓のBeyond K-point『【最終回】interfmの取締役高原さんを迎えて、この番組の総括などお話をしています。』,"Sun, 29 Mar 2026 20:59:00 -0000",5,Elvis Costello,She,Elvis Costello / She,content_encoded,ok
3 / 30 田中渓のBeyond K-point『【最終回】interfmの取締役高原さんを迎えて、この番組の総括などお話をしています。』,"Sun, 29 Mar 2026 20:59:00 -0000",6,Wiz Khalifa,See You Again ft. Charlie Puth,Wiz Khalifa - See You Again ft. Charlie Puth,content_encoded,ok
3 / 23 田中渓のBeyond K-point『この番組としては最後のメッセージの紹介と各コーナーをお送りしました』,"Sun, 22 Mar 2026 20:59:00 -0000",1,Kut Klose,Lovely Thang,Kut Klose / Lovely Thang,content_encoded,ok
3 / 23 田中渓のBeyond K-point『この番組としては最後のメッセージの紹介と各コーナーをお送りしました』,"Sun, 22 Mar 2026 20:59:00 -0000",2,3*D,Georgy Porgy,3*D / Georgy Porgy,content_encoded,ok
3 / 23 田中渓のBeyond K-point『この番組としては最後のメッセージの紹介と各コーナーをお送りしました』,"Sun, 22 Mar 2026 20:59:00 -0000",3,FreeTempo,Dreaming,FreeTempo / Dreaming,content_encoded,ok
3 / 23 田中渓のBeyond K-point『この番組としては最後のメッセージの紹介と各コーナーをお送りしました』,"Sun, 22 Mar 2026 20:59:00 -0000",4,Charlie Puth,Home (feat. Hikaru Utada),Charlie Puth / Home (feat. Hikaru Utada),content_encoded,ok
3 / 23 田中渓のBeyond K-point『この番組としては最後のメッセージの紹介と各コーナーをお送りしました』,"Sun, 22 Mar 2026 20:59:00 -0000",5,Hans Zimmer,Maestro (From:The Holiday),Hans Zimmer / Maestro (From:The Holiday),content_encoded,ok
3 / 23 田中渓のBeyond K-point『この番組としては最後のメッセージの紹介と各コーナーをお送りしました』,"Sun, 22 Mar 2026 20:59:00 -0000",6,Liora Twani,Love on the line,Liora Twani / Love on the line,content_encoded,ok
3 / 9 田中渓のBeyond K-point『本日はメッセージの紹介。番組最後に重要なお知らせをしています。』,"Sun, 08 Mar 2026 20:59:00 -0000",1,Ian Asher,Moonlight,Ian Asher / Moonlight,content_encoded,ok
3 / 9 田中渓のBeyond K-point『本日はメッセージの紹介。番組最後に重要なお知らせをしています。』,"Sun, 08 Mar 2026 20:59:00 -0000",2,Macaroom,tombi,Macaroom / tombi,content_encoded,ok
3 / 9 田中渓のBeyond K-point『本日はメッセージの紹介。番組最後に重要なお知らせをしています。』,"Sun, 08 Mar 2026 20:59:00 -0000",3,Nyteflyte,You are,Nyteflyte / You are,content_encoded,ok
3 / 9 田中渓のBeyond K-point『本日はメッセージの紹介。番組最後に重要なお知らせをしています。』,"Sun, 08 Mar 2026 20:59:00 -0000",4,Teddy Swims,Bad dreams,Teddy Swims / Bad dreams,content_encoded,ok
